# SPDX-FileCopyrightText: Copyright (c) 2026 NVIDIA CORPORATION & AFFILIATES. All rights reserved.
# SPDX-License-Identifier: Apache-2.0
#
# Current-tree extraction dispositions at a5486894c45140259d822625e74d1ccdfce807ee.
# rows=334 nonblank_lines=102508 dispositions=move:131,split:136,keep:67,delete:0
# workstreams=standard:281,portable:39,broker:14
# Portable Hermes and the tool broker are recorded for completeness but remain outside the managed Hermes package commitment.
# Every path resolves at the audit revision; no nonexistent or upstream-removed path appears in this file.
runtime	workstream	surface	disposition	nonblank_lines	path	current_owner	target_owner	target	phase	validation	notes
hermes	broker	production	keep	60	agents/hermes/config/managed-tool-gateway.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:agents/hermes/config/managed-tool-gateway.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	production	keep	116	agents/hermes/host/managed-tool-gateway-matrix.json	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:agents/hermes/host/managed-tool-gateway-matrix.json	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	production	keep	74	agents/hermes/host/runtime-refresh-credentials.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:agents/hermes/host/runtime-refresh-credentials.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	production	keep	1108	agents/hermes/host/tool-gateway-broker.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:agents/hermes/host/tool-gateway-broker.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	production	keep	56	agents/hermes/host/tool-gateway-control-contract.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:agents/hermes/host/tool-gateway-control-contract.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	production	keep	267	src/lib/actions/sandbox/snapshot/hermes-managed-clone-broker.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:src/lib/actions/sandbox/snapshot/hermes-managed-clone-broker.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	production	keep	917	src/lib/hermes-tool-gateway-broker.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:src/lib/hermes-tool-gateway-broker.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	production	keep	52	src/lib/hermes-tool-gateway-clone-broker.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:src/lib/hermes-tool-gateway-clone-broker.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	production	keep	303	src/lib/onboard/hermes-managed-tools.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:src/lib/onboard/hermes-managed-tools.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
hermes	broker	test	keep	317	src/lib/actions/sandbox/snapshot-hermes-managed-clone-broker.test.ts	nemoclaw-core-hermes-tool-broker	nemoclaw-core-hermes-tool-broker	core broker workstream:src/lib/actions/sandbox/snapshot-hermes-managed-clone-broker.test.ts	deferred	Hermes tool broker lifecycle, credential, failure-containment, and cleanup tests	The host tool broker remains outside the managed Hermes package until a separate broker lifecycle design is accepted.
