# SPDX-FileCopyrightText: Copyright (c) 2026 NVIDIA CORPORATION & AFFILIATES. All rights reserved.
# SPDX-License-Identifier: Apache-2.0
#
# Current-tree extraction dispositions at a5486894c45140259d822625e74d1ccdfce807ee.
# rows=258 nonblank_lines=112458 dispositions=move:160,split:78,keep:19,delete:1
# Every path resolves at the audit revision; no nonexistent or upstream-removed path appears in this file.
runtime	surface	disposition	nonblank_lines	path	current_owner	target_owner	target	phase	validation	notes
openclaw	lock	keep	5153	test/e2e/fixtures/plugins/weather/package-lock.json	nemoclaw-e2e	nemoclaw-core	core:test/e2e/fixtures/plugins/weather/package-lock.json	8	package-contract and full-e2e	Core retains the central user-installed plugin fixture and its exact dependency graph.
openclaw	lock	move	5640	agents/openclaw/managed-image-messaging-runtime/package-lock.json	openclaw-runtime	nemoclaw-openclaw-package	packages/nemoclaw-openclaw/runtime/managed-image-messaging-runtime/package-lock.json	7	nemoclaw-openclaw clean-pack, package tests, image conformance, and full-e2e	Move the exact lock with the package-owned dependency graph; tar 7.5.21 remains an exact reviewed-content gate.
openclaw	lock	move	1801	agents/openclaw/mcporter-runtime/package-lock.json	openclaw-runtime	nemoclaw-openclaw-package	packages/nemoclaw-openclaw/runtime/mcporter-runtime/package-lock.json	7	nemoclaw-openclaw clean-pack, package tests, image conformance, and full-e2e	Move the exact lock with the package-owned dependency graph; tar 7.5.21 remains an exact reviewed-content gate.
openclaw	lock	move	3648	agents/openclaw/openclaw-runtime/package-lock.json	openclaw-runtime	nemoclaw-openclaw-package	packages/nemoclaw-openclaw/runtime/openclaw-runtime/package-lock.json	7	nemoclaw-openclaw clean-pack, package tests, image conformance, and full-e2e	Move the exact lock with the package-owned dependency graph; tar 7.5.21 remains an exact reviewed-content gate.
openclaw	lock	move	52	agents/openclaw/wechat-runtime/package-lock.json	openclaw-runtime	nemoclaw-openclaw-package	packages/nemoclaw-openclaw/runtime/wechat-runtime/package-lock.json	7	nemoclaw-openclaw clean-pack, package tests, image conformance, and full-e2e	Move the exact lock with the package-owned dependency graph; tar 7.5.21 remains an exact reviewed-content gate.
openclaw	lock	delete	2626	nemoclaw/package-lock.json	openclaw-plugin-workspace	nemoclaw-core-workspace	root:package-lock.json; remove nemoclaw/package-lock.json after clean workspace parity	3	clean root npm install, workspace build, plugin package-contract tests, and no-nested-workspace-lock check	The root workspace lock replaces this plugin-workspace lock. Delete only after the root lock resolves the exact plugin graph and clean build, type-check, tests, and package contents pass.
openclaw	production	move	2351	Dockerfile	openclaw-image-recipe	nemoclaw-openclaw-package	packages/nemoclaw-openclaw/Dockerfile	7	nemoclaw-openclaw clean-pack, image conformance, deterministic security tests, and full-e2e	The package owns the complete OpenClaw image recipe. Shared security, managed bootstrap, credential, policy, and release-build sources remain core-owned exact dependencies; referencing them does not transfer their ownership.
openclaw	production	move	647	Dockerfile.base	openclaw-base-image-recipe	nemoclaw-openclaw-package	packages/nemoclaw-openclaw/Dockerfile.base	7	nemoclaw-openclaw clean-pack, image conformance, deterministic security tests, and full-e2e	The package owns the complete OpenClaw base-image recipe. Shared operating-system security, identity, sandbox-limit, and release-build sources remain core-owned exact dependencies.
openclaw	production	keep	128	src/lib/adapters/openshell/restore-gateway-pairing.ts	nemoclaw-core-openshell-adapter	nemoclaw-core	core:src/lib/adapters/openshell/restore-gateway-pairing.ts	3	one-openshell-client architecture check and lifecycle E2E	Core retains OpenShell transport, executable selection, lifecycle evidence, and authorization; the package receives no OpenShell client.
openclaw	production	keep	59	src/lib/messaging/channels/discord/policy/openclaw.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/discord/policy/openclaw.yaml	7	deterministic messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted native configuration only.
openclaw	production	keep	43	src/lib/messaging/channels/googlechat/policy/openclaw.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/googlechat/policy/openclaw.yaml	7	deterministic messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted native configuration only.
openclaw	production	keep	56	src/lib/messaging/channels/googlechat/provider-profile/openclaw.yaml	nemoclaw-core-messaging	nemoclaw-core	core:src/lib/messaging/channels/googlechat/provider-profile/openclaw.yaml	7	deterministic messaging policy and credential-binding tests	Core retains provider profiles, credential bindings, required policy, and effective-policy inputs; the package renders admitted native configuration only.
